Overleefd;Klasse;Sexe;Leeftijd;Tarief;Ingescheepd
1;3;male;;8.1125;Southampton
1;1;male;4;81.8583;Southampton
1;2;female;13;19.5;Southampton
1;1;male;34;26.55;Southampton
1;3;female;5;19.2583;Cherbourg
1;1;male;52;30.5;Southampton
0;2;male;36;27.75;Southampton
0;3;male;;19.9667;Southampton
0;1;male;30;27.75;Cherbourg
1;1;male;49;89.1042;Cherbourg
0;3;male;;8.05;Southampton
1;3;male;29;7.8958;Cherbourg
0;1;male;65;26.55;Southampton
1;1;female;;51.8625;Southampton
1;2;female;50;10.5;Southampton
0;3;male;;7.75;Queenstown
1;1;male;48;26.55;Southampton
0;3;male;34;8.05;Southampton
0;1;male;47;38.5;Southampton
0;2;male;48;13;Southampton
0;3;male;;8.05;Southampton
0;3;male;38;7.05;Southampton
0;2;male;;0;Southampton
0;1;male;56;26.55;Southampton
0;3;male;;7.725;Queenstown
1;3;female;0.75;19.2583;Cherbourg
0;3;male;;7.25;Southampton
0;3;male;38;8.6625;Southampton
1;2;female;33;27.75;Southampton
1;2;female;23;13.7917;Cherbourg
0;3;female;22;9.8375;Southampton
0;1;male;;52;Southampton
0;2;male;34;21;Southampton
0;3;male;29;7.0458;Southampton
0;3;male;22;7.5208;Southampton
1;3;female;2;12.2875;Southampton
0;3;male;9;46.9;Southampton
0;2;male;;0;Southampton
0;3;male;50;8.05;Southampton
1;3;female;63;9.5875;Southampton
1;1;male;25;91.0792;Cherbourg
0;3;female;;25.4667;Southampton
1;1;female;35;90;Southampton
0;1;male;58;29.7;Cherbourg
0;3;male;30;8.05;Southampton
1;3;male;9;15.9;Southampton
0;3;male;;19.9667;Southampton
0;3;male;21;7.25;Southampton
0;1;male;55;30.5;Southampton
0;1;male;71;49.5042;Cherbourg
0;3;male;21;8.05;Southampton
0;3;male;;14.4583;Cherbourg
1;1;female;54;78.2667;Cherbourg
0;3;male;;15.1;Southampton
0;1;female;25;151.55;Southampton
0;3;male;24;7.7958;Southampton
0;3;male;17;8.6625;Southampton
0;3;female;21;7.75;Queenstown
0;3;female;;7.6292;Queenstown
0;3;female;37;9.5875;Southampton
1;1;female;16;86.5;Southampton
0;1;male;18;108.9;Cherbourg
1;2;female;33;26;Southampton
1;1;male;;26.55;Southampton
0;3;male;28;22.525;Southampton
1;3;male;26;56.4958;Southampton
1;3;male;29;7.75;Queenstown
0;3;male;;8.05;Southampton
1;1;male;36;26.2875;Southampton
1;1;female;54;59.4;Cherbourg
0;3;male;24;7.4958;Southampton
0;1;male;47;34.0208;Southampton
1;2;female;34;10.5;Southampton
0;3;male;;24.15;Queenstown
1;2;female;36;26;Southampton
0;3;male;32;7.8958;Southampton
1;1;female;30;93.5;Southampton
0;3;male;22;7.8958;Southampton
0;3;male;;7.225;Cherbourg
1;1;female;44;57.9792;Cherbourg
0;3;male;;7.2292;Cherbourg
0;3;male;40.5;7.75;Queenstown
1;2;female;50;10.5;Southampton
0;1;male;;221.7792;Southampton
0;3;male;39;7.925;Southampton
0;2;male;23;11.5;Southampton
1;2;female;2;26;Southampton
0;3;male;;7.2292;Cherbourg
0;3;male;17;7.2292;Cherbourg
1;3;female;;22.3583;Cherbourg
0;3;female;30;8.6625;Southampton
1;2;female;7;26.25;Southampton
0;1;male;45;26.55;Southampton
1;1;female;30;106.425;Cherbourg
0;3;male;;14.5;Southampton
1;1;female;22;49.5;Cherbourg
1;1;female;36;71;Southampton
0;3;female;9;31.275;Southampton
0;3;female;11;31.275;Southampton
1;2;male;32;26;Southampton
0;1;male;50;106.425;Cherbourg
0;1;male;64;26;Southampton
1;2;female;19;26;Southampton
1;2;male;;13.8625;Cherbourg
0;3;male;33;20.525;Southampton
1;2;male;8;36.75;Southampton
1;1;male;17;110.8833;Cherbourg
0;2;male;27;26;Southampton
0;3;male;;7.8292;Queenstown
1;3;male;22;7.225;Cherbourg
1;3;female;22;7.775;Southampton
0;1;male;62;26.55;Southampton
1;1;female;48;39.6;Cherbourg
0;1;male;;227.525;Cherbourg
1;1;female;39;79.65;Southampton
1;3;female;36;17.4;Southampton
0;3;male;;7.75;Queenstown
0;3;male;40;7.8958;Southampton
0;2;male;28;13.5;Southampton
0;3;male;;8.05;Southampton
0;3;female;;8.05;Southampton
0;3;male;24;24.15;Southampton
0;3;male;19;7.8958;Southampton
0;3;female;29;21.075;Southampton
0;3;male;;7.2292;Cherbourg
1;3;male;32;7.8542;Southampton
1;2;male;62;10.5;Southampton
1;1;female;53;51.4792;Southampton
1;1;male;36;26.3875;Southampton
1;3;female;;7.75;Queenstown
0;3;male;16;8.05;Southampton
0;3;male;19;14.5;Southampton
1;2;female;34;13;Southampton
1;1;female;39;55.9;Southampton
0;3;female;;14.4583;Cherbourg
1;3;male;32;7.925;Southampton
1;2;female;25;30;Southampton
1;1;female;39;110.8833;Cherbourg
0;2;male;54;26;Southampton
0;1;male;36;40.125;Cherbourg
0;3;male;;8.7125;Cherbourg
1;1;female;18;79.65;Southampton
0;2;male;47;15;Southampton
1;1;male;60;79.2;Cherbourg
0;3;male;22;8.05;Southampton
0;3;male;;8.05;Southampton
0;3;male;35;7.125;Southampton
1;1;female;52;78.2667;Cherbourg
0;3;male;47;7.25;Southampton
0;3;female;;7.75;Queenstown
0;2;male;37;26;Southampton
0;3;male;36;24.15;Southampton
1;2;female;;33;Southampton
0;3;male;49;0;Southampton
0;3;male;;7.225;Cherbourg
1;1;male;49;56.9292;Cherbourg
1;2;female;24;27;Southampton
0;3;male;;7.8958;Southampton
0;1;male;;42.4;Southampton
0;3;male;44;8.05;Southampton
1;1;male;35;26.55;Cherbourg
0;3;male;36;15.55;Southampton
0;3;male;30;7.8958;Southampton
1;1;male;27;30.5;Southampton
1;2;female;22;41.5792;Cherbourg
1;1;female;40;153.4625;Southampton
0;3;female;39;31.275;Southampton
0;3;male;;7.05;Southampton
1;3;female;;15.5;Queenstown
0;3;male;;7.75;Queenstown
0;3;male;35;8.05;Southampton
1;2;female;24;65;Southampton
0;3;male;34;14.4;Southampton
0;3;female;26;16.1;Southampton
1;2;female;4;39;Southampton
0;2;male;26;10.5;Southampton
0;3;male;27;14.4542;Cherbourg
1;1;male;42;52.5542;Southampton
1;3;male;20;15.7417;Cherbourg
0;3;male;21;7.8542;Southampton
0;3;male;21;16.1;Southampton
0;1;male;61;32.3208;Southampton
0;2;male;57;12.35;Queenstown
1;1;female;21;77.9583;Southampton
0;3;male;26;7.8958;Southampton
0;3;male;;7.7333;Queenstown
1;1;male;80;30;Southampton
0;3;male;51;7.0542;Southampton
1;1;male;32;30.5;Cherbourg
0;1;male;;0;Southampton
0;3;female;9;27.9;Southampton
1;2;female;28;13;Southampton
0;3;male;32;7.925;Southampton
0;2;male;31;26.25;Southampton
0;3;female;41;39.6875;Southampton
0;3;male;;16.1;Southampton
0;3;male;20;7.8542;Southampton
1;1;female;24;69.3;Cherbourg
0;3;female;2;27.9;Southampton
1;3;male;;56.4958;Southampton
1;3;female;0.75;19.2583;Cherbourg
1;1;male;48;76.7292;Cherbourg
0;3;male;19;7.8958;Southampton
1;1;male;56;35.5;Cherbourg
0;3;male;;7.55;Southampton
1;3;female;23;7.55;Southampton
0;3;male;;7.8958;Southampton
1;2;female;18;23;Southampton
0;3;male;21;8.4333;Southampton
1;3;female;;7.8292;Queenstown
0;3;female;18;6.75;Queenstown
0;2;male;24;73.5;Southampton
0;3;male;;7.8958;Southampton
0;3;female;32;15.5;Queenstown
0;2;male;23;13;Southampton
0;1;male;58;113.275;Cherbourg
1;1;male;50;133.65;Southampton
0;3;male;40;7.225;Cherbourg
0;1;male;47;25.5875;Southampton
0;3;male;36;7.4958;Southampton
1;3;male;20;7.925;Southampton
0;2;male;32;73.5;Southampton
0;2;male;25;13;Southampton
0;3;male;;7.775;Southampton
0;3;male;43;8.05;Southampton
1;1;female;;52;Southampton
1;2;female;40;39;Southampton
0;1;male;31;52;Southampton
0;2;male;70;10.5;Southampton
1;2;male;31;13;Southampton
0;2;male;;0;Southampton
0;3;male;18;7.775;Southampton
0;3;male;24.5;8.05;Southampton
1;3;female;18;9.8417;Southampton
0;3;female;43;46.9;Southampton
1;1;male;36;512.3292;Cherbourg
0;3;female;;8.1375;Queenstown
1;1;male;27;76.7292;Cherbourg
0;3;male;20;9.225;Southampton
0;3;male;14;46.9;Southampton
0;2;male;60;39;Southampton
0;2;male;25;41.5792;Cherbourg
0;3;male;14;39.6875;Southampton
0;3;male;19;10.1708;Southampton
0;3;male;18;7.7958;Southampton
1;1;female;15;211.3375;Southampton
1;1;male;31;57;Southampton
1;3;female;4;13.4167;Cherbourg
1;3;male;;56.4958;Southampton
0;3;male;25;7.225;Cherbourg
0;1;male;60;26.55;Southampton
0;2;male;52;13.5;Southampton
0;3;male;44;8.05;Southampton
1;3;female;;7.7333;Queenstown
0;1;male;49;110.8833;Cherbourg
0;3;male;42;7.65;Southampton
1;1;female;18;227.525;Cherbourg
1;1;male;35;26.2875;Southampton
0;3;female;18;14.4542;Cherbourg
0;3;male;25;7.7417;Queenstown
0;3;male;26;7.8542;Southampton
0;2;male;39;26;Southampton
1;2;female;45;13.5;Southampton
1;1;male;42;26.2875;Southampton
1;1;female;22;151.55;Southampton
1;3;male;;15.2458;Cherbourg
1;1;female;24;49.5042;Cherbourg
0;1;male;;26.55;Southampton
1;1;male;48;52;Southampton
0;3;male;29;9.4833;Southampton
0;2;male;52;13;Southampton
0;3;male;19;7.65;Southampton
1;1;female;38;227.525;Cherbourg
1;2;female;27;10.5;Southampton
0;3;male;;15.5;Queenstown
0;3;male;33;7.775;Southampton
1;2;female;6;33;Southampton
0;3;male;17;7.0542;Southampton
0;2;male;34;13;Southampton
0;2;male;50;13;Southampton
1;1;male;27;53.1;Southampton
0;3;male;20;8.6625;Southampton
1;2;female;30;21;Southampton
1;3;female;;7.7375;Queenstown
0;2;male;25;26;Southampton
0;3;female;25;7.925;Southampton
1;1;female;29;211.3375;Southampton
0;3;male;11;18.7875;Cherbourg
0;2;male;;0;Southampton
0;2;male;23;13;Southampton
0;2;male;23;13;Southampton
0;3;male;28.5;16.1;Southampton
0;3;female;48;34.375;Southampton
1;1;male;35;512.3292;Cherbourg
0;3;male;;7.8958;Southampton
0;3;male;;7.8958;Southampton
1;1;male;;30;Southampton
0;1;male;36;78.85;Southampton
1;1;female;21;262.375;Cherbourg
0;3;male;24;16.1;Southampton
1;3;male;31;7.925;Southampton
0;1;male;70;71;Southampton
0;3;male;16;20.25;Southampton
1;2;female;30;13;Southampton
0;1;male;19;53.1;Southampton
0;3;male;31;7.75;Queenstown
1;2;female;4;23;Southampton
1;3;male;6;12.475;Southampton
0;3;male;33;9.5;Southampton
0;3;male;23;7.8958;Southampton
1;2;female;48;65;Southampton
1;2;male;0.67;14.5;Southampton
0;3;male;28;7.7958;Southampton
0;2;male;18;11.5;Southampton
0;3;male;34;8.05;Southampton
1;1;female;33;86.5;Southampton
0;3;male;;14.5;Southampton
0;3;male;41;7.125;Southampton
1;3;male;20;7.2292;Cherbourg
1;1;female;36;120;Southampton
0;3;male;16;7.775;Southampton
1;1;female;51;77.9583;Southampton
0;1;male;;39.6;Cherbourg
0;3;female;30.5;7.75;Queenstown
0;3;male;;24.15;Queenstown
0;3;male;32;8.3625;Southampton
0;3;male;24;9.5;Southampton
0;3;male;48;7.8542;Southampton
0;2;female;57;10.5;Southampton
0;3;male;;7.225;Cherbourg
1;2;female;54;23;Southampton
0;3;male;18;7.75;Southampton
0;3;male;;7.75;Queenstown
1;3;female;5;12.475;Southampton
0;3;male;;7.7375;Queenstown
1;1;female;43;211.3375;Southampton
1;3;female;13;7.2292;Cherbourg
1;1;female;17;57;Southampton
0;1;male;29;30;Southampton
0;3;male;;23.45;Southampton
0;3;male;25;7.05;Southampton
0;3;male;25;7.25;Southampton
1;3;female;18;7.4958;Southampton
0;3;male;8;29.125;Queenstown
1;3;male;1;20.575;Southampton
0;1;male;46;79.2;Cherbourg
0;3;male;;7.75;Queenstown
0;2;male;16;26;Southampton
0;3;female;;69.55;Southampton
0;1;male;;30.6958;Cherbourg
0;3;male;25;7.8958;Southampton
0;2;male;39;13;Southampton
1;1;female;49;25.9292;Southampton
1;3;female;31;8.6833;Southampton
0;3;male;30;7.2292;Cherbourg
0;3;female;30;24.15;Southampton
0;2;male;34;13;Southampton
1;2;female;31;26.25;Southampton
1;1;male;11;120;Southampton
1;3;male;0.42;8.5167;Cherbourg
1;3;male;27;6.975;Southampton
0;3;male;31;7.775;Southampton
0;1;male;39;0;Southampton
0;3;female;18;7.775;Southampton
0;2;male;39;13;Southampton
1;1;female;33;53.1;Southampton
0;3;male;26;7.8875;Southampton
0;3;male;39;24.15;Southampton
0;2;male;35;10.5;Southampton
0;3;female;6;31.275;Southampton
0;3;male;30.5;8.05;Southampton
0;1;male;;0;Southampton
0;3;female;23;7.925;Southampton
0;2;male;31;37.0042;Cherbourg
0;3;male;43;6.45;Southampton
0;3;male;10;27.9;Southampton
1;1;female;52;93.5;Southampton
1;3;male;27;8.6625;Southampton
0;1;male;38;0;Southampton
1;3;female;27;12.475;Southampton
0;3;male;2;39.6875;Southampton
0;3;male;;6.95;Queenstown
0;3;male;;56.4958;Southampton
1;2;male;1;37.0042;Cherbourg
1;3;male;;7.75;Queenstown
1;1;female;62;80;
1;3;female;15;14.4542;Cherbourg
1;2;male;0.83;18.75;Southampton
0;3;male;;7.2292;Cherbourg
0;3;male;23;7.8542;Southampton
0;3;male;18;8.3;Southampton
1;1;female;39;83.1583;Cherbourg
0;3;male;21;8.6625;Southampton
0;3;male;;8.05;Southampton
1;3;male;32;56.4958;Southampton
1;1;male;;29.7;Cherbourg
0;3;male;20;7.925;Southampton
0;2;male;16;10.5;Southampton
1;1;female;30;31;Cherbourg
0;3;male;34.5;6.4375;Cherbourg
0;3;male;17;8.6625;Southampton
0;3;male;42;7.55;Southampton
0;3;male;;69.55;Southampton
0;3;male;35;7.8958;Cherbourg
0;2;male;28;33;Southampton
1;1;female;;89.1042;Cherbourg
0;3;male;4;31.275;Southampton
0;3;male;74;7.775;Southampton
0;3;female;9;15.2458;Cherbourg
1;1;female;16;39.4;Southampton
0;2;female;44;26;Southampton
1;3;female;18;9.35;Southampton
1;1;female;45;164.8667;Southampton
1;1;male;51;26.55;Southampton
1;3;female;24;19.2583;Cherbourg
0;3;male;;7.2292;Cherbourg
0;3;male;41;14.1083;Southampton
0;2;male;21;11.5;Southampton
1;1;female;48;25.9292;Southampton
0;3;female;;69.55;Southampton
0;2;male;24;13;Southampton
1;2;female;42;13;Southampton
1;2;female;27;13.8583;Cherbourg
0;1;male;31;50.4958;Southampton
0;3;male;;9.5;Southampton
1;3;male;4;11.1333;Southampton
0;3;male;26;7.8958;Southampton
1;1;female;47;52.5542;Southampton
0;1;male;33;5;Southampton
0;3;male;47;9;Southampton
1;2;female;28;24;Cherbourg
1;3;female;15;7.225;Cherbourg
0;3;male;20;9.8458;Southampton
0;3;male;19;7.8958;Southampton
0;3;male;;7.8958;Southampton
1;1;female;56;83.1583;Cherbourg
1;2;female;25;26;Southampton
0;3;male;33;7.8958;Southampton
0;3;female;22;10.5167;Southampton
0;2;male;28;10.5;Southampton
0;3;male;25;7.05;Southampton
0;3;female;39;29.125;Queenstown
0;2;male;27;13;Southampton
1;1;female;19;30;Southampton
0;3;female;;23.45;Southampton
1;1;male;26;30;Cherbourg
0;3;male;32;7.75;Queenstown
